Date,Adj Close,Close,High,Low,Open,Volume
2018-01-02,41.3100700378418,43.06499862670898,43.07500076293945,42.31499862670898,42.540000915527344,102223600
2018-01-03,41.302879333496094,43.057498931884766,43.63750076293945,42.9900016784668,43.13249969482422,118071600
2018-01-04,41.49473571777344,43.25749969482422,43.36750030517578,43.02000045776367,43.1349983215332,89738400
2018-01-05,41.9671630859375,43.75,43.84249877929688,43.26250076293945,43.36000061035156,94640000
2018-01-08,41.811283111572266,43.587501525878906,43.90250015258789,43.48249816894531,43.587501525878906,82271200
2018-01-09,41.80649566650391,43.58250045776367,43.76499938964844,43.352500915527344,43.63750076293945,86336000
2018-01-10,41.79689407348633,43.5724983215332,43.57500076293945,43.25,43.290000915527344,95839600
2018-01-11,42.03430938720703,43.81999969482422,43.872501373291016,43.622501373291016,43.647499084472656,74670800
2018-01-12,42.46836471557617,44.272499084472656,44.34000015258789,43.91249847412109,44.04499816894531,101672400
2018-01-16,42.25254440307617,44.04750061035156,44.84749984741211,44.03499984741211,44.47499847412109,118263600
2018-01-17,42.95039749145508,44.775001525878906,44.8125,43.76750183105469,44.03749847412109,137547200
2018-01-18,42.98876953125,44.81499862670898,45.025001525878906,44.5625,44.84249877929688,124773600
2018-01-19,42.79691696166992,44.6150016784668,44.89500045776367,44.352500915527344,44.65250015258789,129700400
2018-01-22,42.44679641723633,44.25,44.44499969482422,44.150001525878906,44.32500076293945,108434400
2018-01-23,42.45638275146485,44.2599983215332,44.86000061035156,44.20500183105469,44.32500076293945,130756400
2018-01-24,41.78010940551758,43.55500030517578,44.32500076293945,43.29999923706055,44.3125,204420400
2018-01-25,41.03429412841797,42.77750015258789,43.73749923706055,42.63249969482422,43.62749862670898,166116000
2018-01-26,41.130218505859375,42.87749862670898,43.0,42.51499938964844,43.0,156572000
2018-01-29,40.27888107299805,41.9900016784668,42.540000915527344,41.76750183105469,42.540000915527344,202561600
2018-01-30,40.04146957397461,41.74250030517578,41.84249877929688,41.17499923706055,41.38249969482422,184192800
2018-01-31,40.15178680419922,41.85749816894531,42.11000061035156,41.625,41.71749877929688,129915600
2018-02-01,40.2357177734375,41.94499969482422,42.15499877929688,41.68999862670898,41.79249954223633,188923200
2018-02-02,38.48988723754883,40.125,41.70000076293945,40.025001525878906,41.5,346375200
2018-02-05,37.52823638916016,39.122501373291016,40.970001220703125,39.0,39.775001525878906,290954000
2018-02-06,39.09660720825195,40.75749969482422,40.93000030517578,38.5,38.70750045776367,272975200
2018-02-07,38.25966262817383,39.8849983215332,40.84999847412109,39.76750183105469,40.772499084472656,206434400
2018-02-08,37.20689010620117,38.78749847412109,40.25,38.75749969482422,40.0724983215332,217562000
2018-02-09,37.6619758605957,39.102500915527344,39.47249984741211,37.560001373291016,39.26750183105469,282690400
2018-02-12,39.178955078125,40.6775016784668,40.97249984741211,39.37749862670898,39.625,243278000
2018-02-13,39.57144546508789,41.084999084472656,41.1875,40.41249847412109,40.48749923706055,130196800
2018-02-14,40.30104064941406,41.84249877929688,41.8849983215332,40.720001220703125,40.7599983215332,162579600
2018-02-15,41.65427780151367,43.247501373291016,43.272499084472656,42.25,42.4474983215332,204588800
2018-02-16,41.51943206787109,43.10749816894531,43.70500183105469,42.942501068115234,43.09000015258789,160704400
